Id,FromAddress,ToAddress,Speed, Type,PermitDirection
0011,48081,20001,1000,Horizontal,Forward
0012,20001,48002,1000,Horizontal,Forward
0021,48002,20003,1000,Horizontal,Forward
0022,20003,20004,1000,Horizontal,Forward
0023,20004,20005,1000,Horizontal,Forward
0024,20005,20006,1000,Horizontal,Forward
0025,20006,48007,1000,Horizontal,Forward
0031,48007,20008,1000,Horizontal,Forward
0032,20008,20009,1000,Horizontal,Forward
0033,20009,48010,1000,Horizontal,Forward
0041,48010,20011,1000,Horizontal,Forward
0042,20011,48012,1000,Horizontal,Forward
0051,48012,20013,1000,Horizontal,Forward
0052,20013,48014,1000,Horizontal,Forward
0061,48014,20015,1000,Horizontal,Forward
0062,20015,20016,1000,Horizontal,Forward
0063,20016,20017,1000,Horizontal,Forward
0064,20017,48018,1000,Horizontal,Forward
0071,48018,20019,1000,Horizontal,Forward
0072,20019,24020,1000,Horizontal,Forward
0073,24020,20021,1000,Horizontal,Forward
0074,20021,20022,1000,Horizontal,Forward
0075,20022,48023,1000,Horizontal,Forward
0081,48023,20024,1000,Horizontal,Forward
0082,20024,20025,1000,Horizontal,Forward
0083,20025,20026,1000,Horizontal,Forward
0084,20026,20027,1000,Horizontal,Forward
0085,20027,48028,1000,Horizontal,Forward
0091,48028,20029,1000,Horizontal,Forward
0092,20029,20030,1000,Horizontal,Forward
0093,20030,20031,1000,Horizontal,Forward
0094,20031,48032,1000,Horizontal,Forward
0101,48032,20033,1000,Horizontal,Forward
0102,20033,20034,1000,Horizontal,Forward
0103,20034,48035,1000,Horizontal,Forward
0111,48035,16036,1000,Horizontal,Forward
0112,16036,48037,600,Vertical,Forward
0121,48039,28040,1000,Horizontal,Forward
0122,28040,48041,1000,Horizontal,Forward
0131,48041,20042,1000,Horizontal,Forward
0132,20042,20043,1000,Horizontal,Forward
0133,20043,20044,1000,Horizontal,Forward
0134,20044,48045,1000,Horizontal,Forward
0141,48045,20046,1000,Horizontal,Forward
0142,20046,48047,1000,Horizontal,Forward
0151,48047,20048,1000,Horizontal,Forward
0152,20048,20049,1000,Horizontal,Forward
0153,20049,20050,1000,Horizontal,Forward
0154,20050,28051,1000,Horizontal,Forward
0155,28051,48052,1000,Horizontal,Forward
0161,48052,20053,1000,Horizontal,Forward
0162,20053,20054,1000,Horizontal,Forward
0163,20054,48055,1000,Horizontal,Forward
0171,48055,48056,1000,Horizontal,Forward
0181,48056,48057,1000,Horizontal,Forward
0191,48057,20058,1000,Horizontal,Forward
0192,20058,20059,1000,Horizontal,Forward
0193,20059,48060,1000,Horizontal,Forward
0201,48060,20061,1000,Horizontal,Forward
0202,20061,20062,1000,Horizontal,Forward
0203,20062,20063,1000,Horizontal,Forward
0204,20063,48064,1000,Horizontal,Forward
0211,48064,20065,1000,Horizontal,Forward
0212,20065,28066,1000,Horizontal,Forward
0213,28066,20067,1000,Horizontal,Forward
0214,20067,16068,1000,Horizontal,Forward
0215,16068,48002,600,Vertical,Forward
0221,48064,48007,600,Vertical,Forward
0231,48010,48060,600,Vertical,Forward
0241,48055,48014,600,Vertical,Forward
0251,48018,48052,600,Vertical,Forward
0261,48047,48023,600,Vertical,Forward
0271,48028,48045,600,Vertical,Forward
0281,48041,48032,600,Vertical,Forward
0291,48035,48039,600,Vertical,Forward
0301,48057,16069,138,R2000,Forward
0302,16069,16070,600,Horizontal,Forward
0303,16070,48071,1000,Horizontal,Forward
0311,48074,20075,1000,Horizontal,Forward
0312,20075,20076,1000,Horizontal,Forward
0313,20076,20077,1000,Horizontal,Forward
0314,20077,48078,1000,Horizontal,Forward
0321,48078,48079,1000,Horizontal,Forward
0331,48079,16080,600,Horizontal,Forward
0332,16080,48056,138,R2000,Forward
0341,48079,48012,138,R2000,Forward
0351,48071,48078,600,Horizontal,Forward
0361,48081,16082,600,Vertical,Forward
0362,16082,16083,600,Horizontal,Forward
0363,16083,48084,600,Horizontal,Forward
0371,48071,16072,1000,Horizontal,Forward
0372,16072,16073,1000,Horizontal,Forward
0373,16073,48074,600,Vertical,Forward
0381,48037,20038,300,Horizontal,Forward
0382,20038,48039,300,Horizontal,Forward